,h_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,createdate,h_county,year,h_tract,paradise
28,60070001023010,30,4,18,8,11,9,10,0,1,0,3,1,0,5,1,1,0,0,0,0,2,2,8,1,1,3,1,28,0,0,0,0,2,25,5,2,7,13,4,15,15,20230321,6007,2013,600700010,0
29,60070001023011,13,3,8,2,1,7,5,1,0,0,1,0,0,1,0,0,0,1,0,0,1,2,3,0,2,0,1,10,2,0,1,0,0,10,3,3,1,3,3,7,6,20230321,6007,2013,600700010,0
30,60070001023012,40,5,21,14,12,12,16,4,0,0,1,2,1,8,0,2,1,0,2,1,1,10,2,1,0,2,2,39,0,0,0,0,1,31,9,5,8,11,11,21,19,20230321,6007,2013,600700010,0
31,60070001023013,53,9,28,16,18,15,20,1,0,0,0,3,1,3,1,0,1,1,1,0,2,16,15,0,1,3,4,45,0,1,4,0,3,51,2,4,9,14,17,20,33,20230321,6007,2013,600700010,0
32,60070001023014,37,7,21,9,8,15,14,3,0,0,1,2,2,8,0,0,1,0,1,1,0,4,7,0,2,2,3,32,2,0,2,0,1,29,8,6,6,9,9,20,17,20230321,6007,2013,600700010,0
33,60070001023015,45,9,21,15,16,17,12,0,0,0,2,2,1,5,0,0,2,1,2,0,1,4,14,0,4,6,1,42,0,1,2,0,0,39,6,4,11,10,11,15,30,20230321,6007,2013,600700010,0
34,60070001023016,15,7,6,2,7,6,2,1,0,0,0,1,1,2,0,0,0,0,0,0,0,5,3,0,2,0,0,14,0,1,0,0,0,11,4,0,4,3,1,11,4,20230321,6007,2013,600700010,0
35,60070001031000,126,35,60,31,31,48,47,2,0,1,5,2,5,20,3,2,8,4,8,0,8,13,25,0,10,4,6,120,1,1,3,0,1,109,17,9,23,34,25,66,60,20230321,6007,2013,600700010,0
36,60070001031001,4,0,3,1,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,4,0,1,0,2,1,0,4,20230321,6007,2013,600700010,0
37,60070001031002,6,2,4,0,3,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,5,0,0,0,0,1,4,2,0,2,2,0,2,4,20230321,6007,2013,600700010,0
38,60070001031004,3,0,1,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,3,0,1,0,2,0,2,1,20230321,6007,2013,600700010,0
39,60070001031005,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0,1,0,1,1,20230321,6007,2013,600700010,0
40,60070001031006,6,1,4,1,2,1,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,6,0,0,0,0,0,4,2,1,1,2,1,3,3,20230321,6007,2013,600700010,0
41,60070001031007,7,2,4,1,2,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,3,0,5,0,0,1,0,1,5,2,0,1,4,0,2,5,20230321,6007,2013,600700010,0
42,60070001031014,185,32,122,31,37,65,83,5,0,0,6,3,7,21,2,3,8,1,10,1,10,30,45,3,16,5,9,170,2,3,6,2,2,150,35,26,29,53,45,83,102,20230321,6007,2013,600700010,0
43,60070001031015,36,12,19,5,13,12,11,0,0,0,0,2,0,3,1,0,0,2,0,0,2,6,9,2,6,3,0,32,0,0,3,0,1,30,6,3,5,10,6,14,22,20230321,6007,2013,600700010,0
44,60070001031016,26,6,15,5,10,5,11,0,0,0,0,0,1,3,0,0,0,0,3,1,0,4,8,0,4,0,2,23,1,0,2,0,0,25,1,0,5,6,9,10,16,20230321,6007,2013,600700010,0
45,60070001031017,23,3,16,4,7,6,10,3,0,0,0,0,0,2,0,0,0,2,3,2,1,2,4,0,1,1,2,23,0,0,0,0,0,16,7,3,4,8,5,14,9,20230321,6007,2013,600700010,0
46,60070001031018,55,19,26,10,15,14,26,1,0,1,4,5,0,5,0,1,2,0,1,1,3,5,11,1,6,4,4,52,1,0,2,0,0,52,3,3,5,18,10,23,32,20230321,6007,2013,600700010,0
47,60070001031019,22,3,18,1,6,9,7,0,0,0,1,0,0,2,1,0,1,1,1,1,1,4,7,0,0,1,1,20,1,0,0,1,0,18,4,3,6,7,3,7,15,20230321,6007,2013,600700010,0
48,60070001031020,10,2,8,0,3,1,6,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,4,0,1,0,0,9,1,0,0,0,0,9,1,2,3,1,2,6,4,20230321,6007,2013,600700010,0
49,60070001031021,8,0,6,2,1,1,6,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,1,0,5,0,0,3,0,0,8,0,0,2,4,2,3,5,20230321,6007,2013,600700010,0
50,60070001031022,3,1,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,3,0,1,0,1,0,1,2,20230321,6007,2013,600700010,0
51,60070001031023,11,4,5,2,3,4,4,0,0,0,0,0,0,2,0,0,0,1,1,1,1,0,1,1,0,1,2,9,0,0,2,0,0,8,3,1,2,2,2,4,7,20230321,6007,2013,600700010,0
52,60070001031024,18,2,11,5,5,5,8,0,0,0,2,0,1,1,1,0,0,1,1,0,1,2,5,0,0,1,2,16,0,0,1,0,1,16,2,2,3,5,6,6,12,20230321,6007,2013,600700010,0
53,60070001031025,88,14,56,18,18,28,42,5,0,2,1,4,2,7,1,0,2,3,6,0,5,9,20,0,3,10,8,77,3,3,5,0,0,71,17,13,18,23,20,39,49,20230321,6007,2013,600700010,0
54,60070001031027,26,3,21,2,2,12,12,1,0,0,1,1,2,1,0,0,0,0,1,1,2,2,4,2,3,3,2,25,0,0,0,0,1,24,2,1,7,8,7,16,10,20230321,6007,2013,600700010,0
